addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 남양주시 조안면 송송골길 42,,31.0,A05,A0502,A05020100,2870331,39,20221019134507,http://tong.visitkorea.or.kr/cms/resource/24/2870324_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2870324_image3_1.jpg,Type3,127.3179067151,37.5692545088,6.0,20250513133224,9.0,,이가네자연밥상,12280,41,360.0,FD,FD01,FD010100
경기도 남양주시 덕송3로 45-71 (별내동),,31.0,A05,A0502,A05020900,2839589,39,20220819103709,http://tong.visitkorea.or.kr/cms/resource/86/2839586_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2839586_image3_1.jpg,Type3,127.1107227326,37.6684808866,6.0,20250512173648,9.0,,이구동성로스터리카페,12091,41,360.0,FD,FD05,FD050100
경기도 양주시 부흥로1422번길 220 (남방동),,31.0,A05,A0502,A05020900,2832274,39,20220804101703,http://tong.visitkorea.or.kr/cms/resource/64/2832264_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2832264_image3_1.jpg,Type3,127.0407621381,37.7763448453,6.0,20250623110042,18.0,,이너프유,11501,41,630.0,FD,FD05,FD050100
"경기도 고양시 일산서구 강성로 256 (대화동, 성저마을2단지아파트)",,31.0,A05,A0502,A05020100,2893496,39,20221102094013,http://tong.visitkorea.or.kr/cms/resource/92/2893492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2893492_image3_1.jpg,Type3,126.7489666347,37.676795649,6.0,20250423141914,2.0,,이도옥설렁탕,10376,41,287.0,FD,FD01,FD010100
경기도 포천시 이동면 화동로 2215,,,,,,2856119,39,20220920132125,https://tong.visitkorea.or.kr/cms/resource/91/4006191_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/91/4006191_image3_1.jpg,Type3,127.373053124928,38.0438727723442,6.0,20260127101210,,,이동강변갈비,11111,41,650.0,FD,FD01,FD010100
경기도 포천시 이동면 화동로 2362,,,,,,699549,39,20090226004723,https://tong.visitkorea.or.kr/cms/resource/20/700420_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/20/700420_image3_1.jpg,Type3,127.384504205261,38.0528084716614,6.0,20260225112925,,,이동궁전갈비,11110,41,650.0,FD,FD01,FD010100
경기도 포천시 이동면 화동로 2089,,31.0,A05,A0502,A05020100,699544,39,20090226003429,http://tong.visitkorea.or.kr/cms/resource/40/3564840_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3564840_image3_1.jpg,Type3,127.3663026588,38.034340154,6.0,20251111141644,29.0,,이동느티나무갈비,11111,41,650.0,FD,FD01,FD010100
경기도 포천시 이동면 화동로 1970,,,,,,1856923,39,20131109005833,,,,127.369011631648,38.0238454416341,6.0,20260203095415,,,이동정원갈비,11111,41,650.0,FD,FD01,FD010100
경기도 포천시 이동면 여우고개로 698,,31.0,A05,A0502,A05020100,699552,39,20090226005315,http://tong.visitkorea.or.kr/cms/resource/51/3588251_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/3588251_image3_1.jpg,Type3,127.3808036213,38.05093293,6.0,20251223192246,29.0,,이동폭포갈비,11110,41,650.0,FD,FD01,FD010100
경기도 파주시 탄현면 헤이리마을길 55-50,,,,,,3012713,14,20230920111835,https://tong.visitkorea.or.kr/cms/resource/13/3003213_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/13/3003213_image3_1.jpg,Type3,126.69526536129864,37.78913495593265,6.0,20260430085817,,,이랜드갤러리,10859,41,480.0,VE,VE07,VE070600
"경기도 남양주시 도농로 24 (다산동, 부영애시앙)",부영애시앙,,,,,2912478,38,20221101154325,https://tong.visitkorea.or.kr/cms/resource/76/4019876_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/76/4019876_image3_1.jpg,Type3,127.157753794985,37.6082044738715,6.0,20260330091611,,,이마트 다산점,12256,41,360.0,SH,SH04,SH040300
경기도 남양주시 순화궁로 167 (별내동),,,,,,2907736,38,20221101154130,https://tong.visitkorea.or.kr/cms/resource/15/4019915_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/15/4019915_image3_1.jpg,Type3,127.125967996663,37.6428100149332,6.0,20260316105417,,,이마트 별내점,12113,41,360.0,SH,SH04,SH040300
